2023-05-10 14:23:04,357 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-communication-papi'
2023-05-10 14:23:04,559 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-nucleus-css-payment-sapi'
2023-05-10 14:23:04,885 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-account-css-sapi'
2023-05-10 14:23:05,078 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-account-ods-sapi'
2023-05-10 14:23:05,360 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-acct-mgmt-papi'
2023-05-10 14:23:05,563 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-bill-sql-sapi'
2023-05-10 14:23:05,772 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-payment-css-sapi'
2023-05-10 14:23:05,973 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-payment-mgmt-papi'
2023-05-10 14:23:06,193 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-utilities-css-sapi'
2023-05-10 14:23:06,399 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-cust-utilities-mgmt-papi'
2023-05-10 14:23:06,602 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-sf-datasync-updates-udm-sapi'
2023-05-10 14:23:06,822 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-udm-common-controller-sapi'
2023-05-10 14:23:07,038 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-udm-datasync-sfdc-sapi'
2023-05-10 14:23:07,234 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-udm-sf-ds-temp-bankroute-sapi'
2023-05-10 14:23:07,469 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-uwp-admin-mgmt-eapi'
2023-05-10 14:23:07,701 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-uwp-admin-sapi.'
2023-05-10 14:23:07,970 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-uwp-profile-mgmt-papi'
