BU,Product Name,# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,iz_component_dw:31,ncloc_language_distribution:32,iz_error_loggers:33,functions:34,burned_budget:35,major_violations:36,new_conditions_to_cover:37,new_blocker_violations:38,iz_global_exception_conf:39,business_value:40,iz_trace_loggers:41,classes:42,comment_lines:43,complexity:44,blocker_violations:45,reopened_issues:46,iz_component_flows:47,info_violations:48,comment_lines_density:49,alert_status:50,lines:51,files:52,iz_info_loggers:53,iz_debug_loggers:54,skipped_tests:55,lines_to_cover:56,new_minor_violations:57,new_uncovered_conditions:58,duplicated_files:59,tests:60,iz_component_batch:61,projects:62,iz_component_ws:63,new_security_remediation_effort:64,confirmed_issues:65,iz_component_ftp:66,minor_violations:67,iz_component_loggers:68,security_remediation_effort:69,test_execution_time:70,uncovered_conditions:71,test_success_density:72,test_failures:73,iz_scripting_components:74,team_size:75,violations:76,iz_component_vm:77,open_issues:78,iz_api_no_of_apis:79,duplicated_blocks:80,new_uncovered_lines:81,iz_client:82,new_violations:83,wont_fix_issues:84,directories:85,conditions_to_cover:86,iz_business_group:87,effort_to_reach_maintainability_rating_a:88,quality_gate_details:89,new_line_coverage:90,new_lines_to_cover:91,false_positive_issues:92,iz_component_file:93,generated_ncloc:94,iz_listener_http:95,new_critical_violations:96,iz_listener_https:97,duplications_data:98,new_duplicated_lines:99,cognitive_complexity:100,new_branch_coverage:101,reliability_remediation_effort:102,generated_lines:103,iz_muit_exists:104,iz_component_database:105,uncovered_lines:106,releasability_rating:107,iz_warn_loggers:108,new_lines:109,critical_violations:110,line_coverage:111,statements:112,duplicated_lines:113,new_reliability_remediation_effort:114,new_duplicated_blocks:115,new_major_violations:116,new_technical_debt:117,new_info_violations:118,test_errors:119,iz_mule_version:120,branch_coverage:121,URL:122
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:preference-papi-2.0,preference-papi,master,6/8/2023,84,6,267,2,3,4,1,5,0.50%,1910,,3.40%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,11766,40,css=7190;mule=3515;web=1061,0,,,97,0,0,No,,0,,6,8,0,0,26,121,0.10%,OK,14488,106,0,0,,,0,0,7,,0,,0,0,0,0,117,65,23,,,,,0,,357,0,357,0,19,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,2,0,0,,0,,,105,,Yes,0,,,0,1,22,,,490,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:preference-papi-2.0&branch=master
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:preference-eapi,preferences-eapi,master,6/7/2023,84,1,110,2,3,4,1,5,0.20%,655,,4.60%,0,0,0,0,0,1,1,1,1,0.00%,,,,10342,4,css=7190;mule=2175;web=977,0,,,69,0,0,No,,0,,6,8,0,0,13,50,0.10%,OK,12388,98,0,0,,,0,0,7,,0,,0,0,0,0,70,31,3,,,,,0,,195,0,195,0,28,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,2,0,0,,0,,,105,,Yes,0,,,0,0,6,,,573,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:preference-eapi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:premiseassets-gis-eapi,premiseassets-gis-eapi,develop,5/15/2023,25,12,265,3,3,4,1,5,1.30%,1697,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,4358,7,api=2720;mule=1638,0,,,42,0,0,No,,0,,,,0,0,5,15,,OK,4823,130,0,0,,,0,0,0,,0,,0,0,0,0,243,7,168,,,,,0,,302,0,302,1,0,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,4,0,0,,0,,,375,,Yes,0,,,0,7,2,,,0,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:premiseassets-gis-eapi&branch=develop
,,20fb66fc-3fbd-4ed8-971b-d68fd6899d99:premiseassets-gis-eapi,premiseassets-gis-eapi,master,5/15/2023,25,12,265,3,3,4,1,5,1.30%,1697,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,4358,7,api=2720;mule=1638,0,,,42,0,0,No,,0,,,,0,0,5,15,,OK,4823,130,0,0,,,0,0,0,,0,,0,0,0,0,243,7,168,,,,,0,,302,0,302,1,0,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,4,0,0,,0,,,375,,Yes,0,,,0,7,2,,,0,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=20fb66fc-3fbd-4ed8-971b-d68fd6899d99:premiseassets-gis-eapi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:premiseassets-snap-eapi,premiseassets-snap-eapi,develop,4/28/2023,0,1,295,1,1,4,1,5,2.40%,1175,,0.00%,0,,,,,,,,,,,,,1662,14,mule=1662,0,,,9,,,No,,0,,,,0,0,9,39,,OK,2702,55,0,0,,,,,0,,0,,0,,0,0,245,14,3,,,,,0,,296,0,296,0,0,,,,0,,,NA,0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",,,0,0,,2,,0,,,,,0,,No,0,,,0,,3,,,0,,,,,,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:premiseassets-snap-eapi&branch=develop
,,pts-api,pts-api,develop,4/28/2023,0,0,556,8,1,1,1,5,0.60%,3895,8.30%,16.20%,0,0,0,73,2,1,1,1,5,0.80%,0.60%,12.40%,0,21054,0,cs=21054,0,3842,,393,626,0,,,0,423,1330,5334,0,0,0,0,5.90%,OK,26809,393,0,0,10,13639,22,626,59,137,0,,0,0,0,0,159,0,0,11059,2898,,0,0,,556,0,556,0,348,2146,,73,0,,3004,,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""}],""ignoredConditions"":false}",0.70%,2163,0,0,,0,4,0,,489,2195,0.00%,0,,,0,12369,,0,3913,4,9.30%,7090,4337,0,62,47,672,0,0,,3.50%,https://sonarqube-us.nationalgrid.com/dashboard?id=pts-api&branch=develop
,,pts-ui,pts-ui,develop,4/28/2023,17,0,83,2,3,1,1,4,0.10%,510,0.00%,13.80%,33.3,17,0,27,2,3,1,1,4,0.10%,0.00%,12.90%,33.33333333,22233,0,css=2006;ts=14018;web=6209,0,1545,,3,0,0,,,0,238,227,2252,0,89,0,89,1.00%,ERROR,25407,499,0,0,,4703,8,0,63,,0,,0,0,0,0,8,0,0,,,,,0,,100,0,11,0,225,652,,44,0,,,,0,"{""level"":""ERROR"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""3"",""level"":""ERROR""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_coverage"",""op"":""LT"",""period"":1,""error"":""80"",""actual"":""0.0"",""level"":""ERROR""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""12.933333333333334"",""level"":""ERROR""},{""metric"":""new_security_hotspots_reviewed"",""op"":""LT"",""period"":1,""error"":""100"",""actual"":""33.333333333333336"",""level"":""ERROR""}],""ignoredConditions"":false}",0.00%,652,122,0,,0,0,0,,485,925,,54,,,0,4703,,0,3750,0,0.00%,4764,3504,54,94,3,173,33,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=pts-ui&branch=develop
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:rt-cds-eapi,rt-cds-eapi,master,5/26/2023,62,1,160,1,3,4,1,5,0.30%,828,0.00%,2.30%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,10184,13,css=7190;java=22;mule=2413;web=559,0,1,,58,0,0,No,,0,1,8,12,0,0,6,34,0.10%,OK,10747,99,2,0,,12,0,0,5,,0,,0,0,0,0,129,21,3,,,,,0,,223,0,223,0,11,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,2,0,0,,0,4,,77,,Yes,0,12,,0,4,2,0.00%,12,246,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:rt-cds-eapi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:rt-cds-papi,rt-cds-papi,develop,5/30/2023,22,10,259,2,3,4,1,5,1.50%,1898,0.00%,0.00%,0,,,,,,,,,,,,,4119,17,api=802;java=36;mule=3281,0,1,,45,,,No,,0,1,0,9,0,0,6,49,0.00%,OK,4344,69,0,0,,22,,,0,,0,,0,,0,0,189,36,138,,,,,0,,291,0,291,0,0,,,,0,,,NA,0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",,,0,0,,1,,1,,,15,,330,,Yes,0,22,,0,,8,0.00%,20,0,,,,,,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:rt-cds-papi&branch=develop
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:rt-cds-papi,rt-cds-papi,master,5/30/2023,0,3,337,0,1,5,1,1,1.30%,1469,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3788,17,java=36;mule=3752,0,1,,13,0,0,No,,0,1,0,9,2,0,6,49,0.00%,OK,4396,54,0,0,,22,0,0,0,,0,,0,0,0,0,268,36,20,,,,,0,,340,0,340,0,0,0,,0,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,2,0,0,,0,15,,0,,Yes,0,22,,0,26,8,0.00%,20,0,0,0,0,0,0,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:rt-cds-papi&branch=master
