# Project Key:1,Project Name:2,Last Analysis:3,bugs:4,vulnerabilities:5,code_smells:6,security_hotspots:7,reliability_rating:8,security_rating:9,sqale_rating:10,security_review_rating:11,sqale_debt_ratio:12,sqale_index:13,coverage:14,duplicated_lines_density:15,security_hotspots_reviewed:16,new_bugs:17,new_vulnerabilities:18,new_code_smells:19,new_security_hotspots:20,new_reliability_rating:21,new_security_rating:22,new_maintainability_rating:23,new_security_review_rating:24,new_sqale_debt_ratio:25,new_coverage:26,new_duplicated_lines_density:27,new_security_hotspots_reviewed:28,ncloc:29,classes:30,duplications_data:31,lines:32,iz_client:33,comment_lines_density:34,cognitive_complexity:35,duplicated_lines:36,effort_to_reach_maintainability_rating_a:37,iz_component_loggers:38,wont_fix_issues:39,generated_lines:40,major_violations:41,iz_muit_exists:42,iz_debug_loggers:43,new_info_violations:44,test_success_density:45,test_execution_time:46,minor_violations:47,iz_component_vm:48,iz_trace_loggers:49,iz_listener_https:50,skipped_tests:51,test_failures:52,iz_component_ftp:53,iz_api_no_of_apis:54,security_remediation_effort:55,test_errors:56,new_duplicated_lines:57,iz_business_group:58,new_blocker_violations:59,projects:60,iz_error_loggers:61,false_positive_issues:62,iz_component_database:63,branch_coverage:64,iz_global_exception_conf:65,tests:66,team_size:67,iz_scripting_components:68,new_branch_coverage:69,new_lines_to_cover:70,new_violations:71,violations:72,business_value:73,alert_status:74,iz_component_file:75,open_issues:76,iz_mule_version:77,complexity:78,new_technical_debt:79,iz_component_batch:80,ncloc_language_distribution:81,new_major_violations:82,new_conditions_to_cover:83,confirmed_issues:84,iz_info_loggers:85,line_coverage:86,reliability_remediation_effort:87,statements:88,duplicated_blocks:89,new_duplicated_blocks:90,releasability_rating:91,uncovered_lines:92,files:93,new_uncovered_lines:94,iz_component_flows:95,iz_component_ws:96,new_line_coverage:97,new_security_remediation_effort:98,new_uncovered_conditions:99,blocker_violations:100,new_minor_violations:101,reopened_issues:102,critical_violations:103,new_critical_violations:104,uncovered_conditions:105,new_reliability_remediation_effort:106,duplicated_files:107,new_lines:108,directories:109,iz_warn_loggers:110,iz_listener_http:111,quality_gate_details:112,iz_component_dw:113,lines_to_cover:114,info_violations:115,functions:116,comment_lines:117,generated_ncloc:118,burned_budget:119,conditions_to_cover:120,URL:121
0b71ec1d-a9ef-423b-a599-66c396fc16ba:ivr-payments-papi,ivr-payments-papi,6/30/2022,29,4,210,0,3,5,1,1,0.10%,2256,,0.00%,,,,,,,,,,,,,,112918,,,1737525,,0.00%,,58,0,28,0,,25,Yes,0,,,,50,0,0,0,,,0,0,26,,,NA,,,0,0,0,,No,,,0,,,,243,,OK,0,243,4.x,3,,0,api=67980;css=14380;mule=28402;web=2156,,,0,0,,35,,2,,,,2729,,11,0,,,,110,,0,12,,,,2,,,0,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,,46,,12,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:ivr-questionnaire-cority-sapi,ivr-questionnaire-cority-sapi1.0.0,4/11/2022,0,6,101,0,1,5,1,1,0.60%,802,,0.00%,,,,,,,,,,,,,,4246,,,4596,,,,0,0,24,0,,15,Yes,9,,,,32,0,0,0,,,0,0,43,,,NA,,,3,0,0,,No,,,0,,,,107,,OK,0,107,4.x,,,0,api=1291;mule=2955,,,0,10,,0,,0,,,,104,,6,0,,,,16,,0,4,,,,0,,,2,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",23,,40,,,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:ivr-service-order-css-sapi,ivr-service-order-css-sapi,6/29/2022,139,5,374,0,3,5,1,1,0.40%,2594,,2.70%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,19517,,,34362,,0.00%,,919,0,118,0,,137,Yes,0,0,,,187,0,0,0,,,0,3,40,,0,NA,0,,0,0,0,,No,,,0,,0,0,518,,OK,0,518,4.x,13,0,0,api=2553;css=7190;mule=8214;web=1560,0,0,0,0,,175,,49,0,,,204,0,17,10,,0,0,44,0,0,1,0,,0,12,3,,0,2,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",48,,149,,6,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:ivr-service-order-papi,ivr-service-order-papi,6/30/2022,62,4,131,0,3,5,1,1,0.10%,1166,,1.00%,,,,,,,,,,,,,,38829,,,39379,,0.00%,,408,0,26,0,,44,Yes,0,,,,59,0,0,0,,,0,3,26,,,NA,,,0,0,0,,No,,,0,,,,197,,OK,0,197,4.x,6,,0,api=21751;css=7190;mule=9119;web=769,,,0,0,,77,,15,,,,608,,10,0,,,,44,,0,8,,,,5,,,0,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,,42,,6,,,,
com.nationalgrid:lighthouse,lighthouse,2/15/2022,1,1,687,1,2,3,1,5,4.00%,5104,0.00%,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,,,4285,86,,5584,,1.00%,88,0,0,0,0,,57,,0,0,,,542,0,0,0,,,0,0,30,,0,,0,,0,0,0,,,,,0,,0,0,689,,OK,0,689,,260,0,0,java=4285,0,0,0,0,0.00%,15,635,0,0,,1433,87,0,0,0,,0,0,1,0,0,5,0,,0,0,0,,0,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""}],""ignoredConditions"":false}",0,1433,84,202,43,,,,
20fb66fc-3fbd-4ed8-971b-d68fd6899d99:locations-eapi,locations-eapi,5/17/2022,0,4,210,0,1,5,1,1,1.70%,934,,0.00%,,,,,,,,,,,,,,1863,,,2809,,,,0,0,17,0,,10,Yes,0,,,,164,0,0,0,,,0,0,37,,,NA,,,0,0,0,,No,,,0,,,,214,,OK,0,214,4.x,,,0,mule=1863,,,0,0,,0,,0,,,,57,,9,0,,,,1,,0,3,,,,0,,,0,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",11,,36,,,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:mador-tax-service-sapi,mador-tax-sapi,5/3/2022,40,3,79,0,3,5,1,1,0.20%,561,,1.30%,,,,,,,,,,,,,,11420,,,11809,,0.10%,,159,0,4,0,,34,Yes,0,,,,61,0,0,0,,,0,1,23,,,NA,,,0,0,0,,No,,,0,,,,122,,OK,0,122,4.x,4,,0,api=2323;css=7190;mule=1528;web=379,,,0,2,,49,,5,,,,115,,4,0,,,,15,,0,3,,,,3,,,0,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,,9,,6,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:mador-tax-service,mador-tax-service,7/27/2022,3,7,342,1,5,5,1,5,1.20%,1895,0.00%,0.00%,0,0,0,13,0,1,1,1,1,0.00%,,0.00%,,5309,5,,7325,,0.20%,1,0,0,54,0,,31,Yes,0,8,,,198,0,0,0,,,0,0,57,,0,NA,0,,0,0,0,,No,,,0,,0,13,352,,OK,0,352,4.x,5,76,0,api=2416;java=66;mule=2827,0,0,0,4,0.00%,15,36,0,0,,40,196,0,11,0,,0,0,16,5,0,6,0,,0,0,155,,1,2,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",33,40,101,5,12,,,,
6d006d9e-f49c-4289-997d-55365c7a6185:mador-tax-service,mador-tax-service,5/3/2022,29,6,324,0,3,5,1,1,1.10%,1993,0.00%,1.70%,,,,,,,,,,,,,,5808,4,,7434,,0.20%,0,124,0,41,0,,65,Yes,0,,,,208,0,0,0,,,0,0,54,,,NA,,,0,0,0,,No,,,0,,,,359,,OK,0,359,4.x,7,,0,api=2412;java=36;mule=2981;web=379,,,0,20,0.00%,35,16,4,,,18,169,,11,0,,,,12,,0,6,,,,2,,,6,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",32,18,68,4,12,,,,
0b71ec1d-a9ef-423b-a599-66c396fc16ba:ador-tax-service,mador-tax-service,5/4/2022,29,6,324,0,3,5,1,1,1.10%,1993,0.00%,1.70%,,,,,,,,,,,,,,5810,4,,7436,,0.20%,0,124,0,41,0,,65,Yes,0,,,,208,0,0,0,,,0,0,54,,,NA,,,0,0,0,,No,,,0,,,,359,,OK,0,359,4.x,7,,0,api=2412;java=36;mule=2983;web=379,,,0,20,0.00%,35,16,4,,,18,169,,11,0,,,,12,,0,6,,,,2,,,6,2,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",32,18,68,4,12,,,,
