# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,URL:31
56c14f77-79ed-4de3-8313-d542ea9f232b:eps-premiseassets-sapi,eps-premiseassets-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:eps-premiseassets-sapi&branch=master
20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-contact-sapi,experian-contact-sapi,master,4/6/2023,45,19,121535,29,3,4,2,5,9.60%,366364,,0.00%,0,,,,,,,,,,,,,126782,https://sonarqube-us.nationalgrid.com/dashboard?id=20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-contact-sapi&branch=master
6d006d9e-f49c-4289-997d-55365c7a6185:experian-net-connect-eapi,experian-net-connect-eapi,master,3/2/2023,27,7,76,3,3,4,1,5,0.70%,830,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3803,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:experian-net-connect-eapi&branch=master
6d006d9e-f49c-4289-997d-55365c7a6185:experian-netconnect-sapi,experian-netconnect-sapi,master,5/18/2023,104,8,436,25,3,4,1,5,0.80%,3058,,0.00%,0,0,0,55,1,1,1,1,5,0.00%,,0.00%,0,13123,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:experian-netconnect-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:experian-netconnect-sapi,experian-netconnect-sapi,develop,5/18/2023,104,8,436,25,3,4,1,5,0.80%,3058,,0.00%,0,0,0,55,1,1,1,1,5,0.00%,,0.00%,0,13123,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:experian-netconnect-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:experian-netconnect-sapi,experian-netconnect-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:experian-netconnect-sapi&branch=master
20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-reset-sapi,experian-reset-sapi,master,4/6/2023,13,4,447,2,3,4,1,5,1.70%,2593,,0.00%,0,,,,,,,,,,,,,5124,https://sonarqube-us.nationalgrid.com/dashboard?id=20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-reset-sapi&branch=master
6d006d9e-f49c-4289-997d-55365c7a6185:fcc-licenses-sapi,fcc-licenses-sapi,master,1/19/2023,7,2,110,1,3,2,1,5,0.70%,1144,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,5335,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:fcc-licenses-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sftp-sapi,file-transfer-sftp-sapi,develop,4/28/2023,22,1,58,3,3,4,1,5,0.00%,558,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,64658,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sftp-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sftp-sapi,file-transfer-sftp-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sftp-sapi&branch=master
0b71ec1d-a9ef-423b-a599-66c396fc16ba:fiserv-ebills-eapi,fiserv-ebills-eapi,master,1/30/2023,7,47,270,3,3,5,1,5,2.20%,3092,0.00%,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,4720,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:fiserv-ebills-eapi&branch=master
0b71ec1d-a9ef-423b-a599-66c396fc16ba:fiserv-ebills-proxy,fiserv-ebills-proxy,master,1/30/2023,0,4,71,0,1,5,1,1,0.70%,482,,0.00%,,0,0,4,0,1,1,1,1,0.00%,,0.00%,,2349,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:fiserv-ebills-proxy&branch=master
CICD_test,functionaltesting,master,5/22/2023,2,0,0,0,3,1,1,1,0.00%,0,,0.00%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,974,https://sonarqube-us.nationalgrid.com/dashboard?id=CICD_test&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:ga-ami-sapi,ga-ami-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:ga-ami-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbc-communication-eapi,gbc-communication-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbc-communication-eapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-cloud-external-systems-healthcheck,gbe-cloud-external-systems-healthcheck,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-cloud-external-systems-healthcheck&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-customers-eapi,gbe-customers-eapi,develop,4/28/2023,58,4,143,2,4,4,1,5,0.80%,1443,,0.00%,0,,,,,,,,,,,,,5762,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-customers-eapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-customers-eapi,gbe-customers-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-customers-eapi&branch=master
gbe-dms-web,gbe-dms-web,main,11/23/2022,1,1,58,0,3,4,1,1,0.10%,250,0.00%,0.20%,,0,0,0,0,1,1,1,1,0.00%,,,,9806,https://sonarqube-us.nationalgrid.com/dashboard?id=gbe-dms-web&branch=main
gbe-dms-web,gbe-dms-web,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=gbe-dms-web&branch=master
gbe-platform,gbe-platform,main,12/28/2021,0,0,673,0,1,1,1,1,4.60%,5343,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,,,3886,https://sonarqube-us.nationalgrid.com/dashboard?id=gbe-platform&branch=main
gbe-platform,gbe-platform,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=gbe-platform&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-router-api,gbe-router-api,develop,6/1/2023,67,5,194,9,3,4,1,5,0.30%,1706,,0.00%,0,67,3,86,6,3,3,1,5,0.00%,,0.00%,0,17705,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-router-api&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-router-api,gbe-router-api,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-router-api&branch=master
20fb66fc-3fbd-4ed8-971b-d68fd6899d99:gbe-router-api,gbe-router-api,master,6/1/2023,67,5,194,9,3,4,1,5,0.30%,1706,,0.00%,0,67,3,86,6,3,3,1,5,0.00%,,0.00%,0,17705,https://sonarqube-us.nationalgrid.com/dashboard?id=20fb66fc-3fbd-4ed8-971b-d68fd6899d99:gbe-router-api&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-ext-sys-healthcheck,gbe-rtf-ext-sys-healthcheck,develop,4/28/2023,7,1,736,3,3,4,1,5,3.40%,2752,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,2722,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-ext-sys-healthcheck&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-ext-sys-healthcheck,gbe-rtf-ext-sys-healthcheck,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-ext-sys-healthcheck&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-external-systems-healthcheck,gbe-rtf-external-systems-healthcheck,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-rtf-external-systems-healthcheck&branch=master
